#       Beta                mu_IG              mu_excess           mu_total
   0.3354009366E-002  -0.1041561741E+004  -0.3626649636E+004  -0.4668211378E+004
   0.3354348433E-002  -0.1041447194E+004  -0.3626736560E+004  -0.4668183754E+004
   0.3354687499E-002  -0.1041332652E+004  -0.3626823480E+004  -0.4668156132E+004
   0.3355026565E-002  -0.1041218116E+004  -0.3626910401E+004  -0.4668128517E+004
   0.3355365632E-002  -0.1041103586E+004  -0.3626997328E+004  -0.4668100914E+004
   0.3355704698E-002  -0.1040989061E+004  -0.3627084267E+004  -0.4668073328E+004
   0.3356043764E-002  -0.1040874542E+004  -0.3627171224E+004  -0.4668045766E+004
   0.3356382831E-002  -0.1040760029E+004  -0.3627258203E+004  -0.4668018232E+004
   0.3356721897E-002  -0.1040645521E+004  -0.3627345210E+004  -0.4667990732E+004
   0.3357060963E-002  -0.1040531020E+004  -0.3627432252E+004  -0.4667963271E+004
   0.3357400030E-002  -0.1040416523E+004  -0.3627519332E+004  -0.4667935855E+004
