#     Pressure              mu_IG              mu_excess           mu_total
  -0.1949684518E+002  -0.1041265700E+004  -0.3632669939E+004  -0.4673935640E+004
  -0.1539747614E+002  -0.1041210530E+004  -0.3631552514E+004  -0.4672763044E+004
  -0.1129810711E+002  -0.1041155278E+004  -0.3630435036E+004  -0.4671590315E+004
  -0.7198738072E+001  -0.1041099948E+004  -0.3629317703E+004  -0.4670417651E+004
  -0.3099369036E+001  -0.1041044541E+004  -0.3628200714E+004  -0.4669245255E+004
   0.1000000000E+001  -0.1040989061E+004  -0.3627084267E+004  -0.4668073328E+004
   0.5099369036E+001  -0.1040933509E+004  -0.3625968561E+004  -0.4666902070E+004
   0.9198738072E+001  -0.1040877889E+004  -0.3624853794E+004  -0.4665731684E+004
   0.1329810711E+002  -0.1040822204E+004  -0.3623740165E+004  -0.4664562368E+004
   0.1739747614E+002  -0.1040766455E+004  -0.3622627871E+004  -0.4663394326E+004
   0.2149684518E+002  -0.1040710646E+004  -0.3621517112E+004  -0.4662227758E+004
