# Time-averaged data for fix PressAve1
# TimeStep c_P1
3480000 7.73
3490000 -3.5342
3500000 8.57114
3510000 -9.63749
3520000 8.41063
3530000 -1.26031
3540000 -6.73478
3550000 7.70457
3560000 4.40744
3570000 -13.5099
3580000 13.8449
3590000 4.78973
3600000 -12.2666
3610000 -1.08364
3620000 1.5581
3630000 14.6822
3640000 0.948767
3650000 -14.0154
3660000 10.3038
3670000 -6.37277
3680000 -2.61933
3690000 2.40869
3700000 6.96513
3710000 18.119
3720000 -6.72874
3730000 -20.3485
3740000 9.57359
3750000 22.2559
3760000 -20.8653
3770000 15.8409
3780000 -0.857461
3790000 -20.6783
3800000 15.825
3810000 15.8374
3820000 -2.75098
3830000 -11.905
3840000 -1.48771
3850000 -1.48026
3860000 4.44561
3870000 10.0449
3880000 -1.81727
3890000 -16.617
3900000 15.847
3910000 11.5994
3920000 -9.46498
3930000 2.80215
3940000 -1.20665
3950000 10.3856
3960000 -11.2937
3970000 25.79
3980000 -11.5755
3990000 0.0824771
4000000 6.12121
4010000 -0.436344
4020000 -8.15701
4030000 -2.37782
4040000 18.2352
4050000 -21.5178
4060000 12.3909
4070000 7.11661
4080000 12.3712
4090000 -9.34552
4100000 -6.31913
4110000 -1.09585
4120000 -6.85641
4130000 3.39163
4140000 4.46858
4150000 -1.09936
4160000 -2.00762
4170000 5.40766
4180000 -1.02192
4190000 8.39726
4200000 2.45593
4210000 10.4978
4220000 -5.85364
4230000 3.16703
4240000 -16.2451
4250000 5.75001
4260000 9.08705
4270000 -6.831
4280000 11.5007
4290000 -1.75182
4300000 -4.81789
4310000 6.82776
4320000 -6.40468
4330000 6.62538
4340000 -15.0716
4350000 19.6971
4360000 -2.56134
4370000 2.42486
4380000 -2.54912
4390000 0.453128
4400000 5.61761
4410000 -22.1712
4420000 25.4526
4430000 -6.38108
4440000 -7.20746
4450000 6.50899
4460000 9.95952
4470000 11.9364
4480000 -26.6815
4490000 36.5264
4500000 -26.6871
4510000 -2.98406
4520000 23.9738
4530000 -18.0553
4540000 9.29273
4550000 -4.40378
4560000 -7.29563
4570000 15.1308
4580000 6.04255
4590000 4.47865
4600000 -13.9335
4610000 2.06513
4620000 9.18504
4630000 5.81527
4640000 -2.38706
4650000 -7.39503
4660000 9.34294
4670000 -28.5892
4680000 18.8091
4690000 8.8688
4700000 -12.0822
4710000 6.8625
4720000 -0.0317496
4730000 7.98052
4740000 -17.7652
4750000 19.3017
4760000 -1.61392
4770000 -6.79771
4780000 8.10721
4790000 -2.38978
4800000 8.32293
4810000 -0.947905
4820000 12.5823
4830000 -12.5606
4840000 14.1836
4850000 -13.1408
4860000 20.8861
4870000 -13.0453
4880000 -0.679991
4890000 8.29868
4900000 14.5417
4910000 -9.85784
4920000 1.36747
4930000 -1.96445
4940000 13.8069
4950000 -13.2022
4960000 6.01233
4970000 -13.1583
4980000 -2.89839
4990000 -1.41203
5000000 -1.91522
