# Time-averaged data for fix TEAve1
# TimeStep v_TotEn1
3000000 -17136.2
3010000 -17127.6
3020000 -17124.2
3030000 -17110.2
3040000 -17115.5
3050000 -17116.4
3060000 -17116
3070000 -17113.9
3080000 -17110.2
3090000 -17085.5
3100000 -17120.1
3110000 -17120.7
3120000 -17122.9
3130000 -17088.4
3140000 -17088.3
3150000 -17096.7
3160000 -17104
3170000 -17126.6
3180000 -17096.9
3190000 -17124.3
3200000 -17138.9
3210000 -17148
3220000 -17134.4
3230000 -17178.6
3240000 -17125
3250000 -17170.5
3260000 -17142.2
3270000 -17118
3280000 -17095.4
3290000 -17091.5
3300000 -17144.5
3310000 -17164
3320000 -17108.8
3330000 -17059.4
3340000 -17133.7
3350000 -17119.2
3360000 -17125.3
3370000 -17106
3380000 -17131
3390000 -17127.3
3400000 -17115.2
3410000 -17123.1
3420000 -17141.5
3430000 -17129.7
3440000 -17117.1
3450000 -17150.9
3460000 -17141.5
3470000 -17135.9
3480000 -17103.8
3490000 -17088.6
3500000 -17142.3
3510000 -17142.5
3520000 -17117.3
3530000 -17156.7
3540000 -17104.8
3550000 -17143.4
3560000 -17141.6
3570000 -17076.9
3580000 -17094.2
3590000 -17113.6
3600000 -17118.3
3610000 -17115.5
3620000 -17124.9
3630000 -17132.4
3640000 -17129.2
3650000 -17097.9
3660000 -17123.6
3670000 -17110.3
3680000 -17107.6
3690000 -17110.4
3700000 -17092.5
3710000 -17115.9
3720000 -17141.8
3730000 -17135.6
3740000 -17122
3750000 -17100.4
3760000 -17062.1
3770000 -17106.4
3780000 -17127.1
3790000 -17108.8
3800000 -17094
3810000 -17109.8
3820000 -17127.6
3830000 -17105.5
3840000 -17103.1
3850000 -17094
3860000 -17119.9
3870000 -17109.9
3880000 -17113.2
3890000 -17165.6
3900000 -17144.8
3910000 -17103.9
3920000 -17116.4
3930000 -17125.4
3940000 -17147.7
3950000 -17131.1
3960000 -17124.2
3970000 -17152.1
3980000 -17076.1
3990000 -17132.7
4000000 -17104.2
4010000 -17107.5
4020000 -17096.4
4030000 -17070.6
4040000 -17132.4
4050000 -17123.6
4060000 -17116
4070000 -17101
4080000 -17100.7
4090000 -17086
4100000 -17111.3
4110000 -17112.6
4120000 -17117.5
4130000 -17155.1
4140000 -17102.3
4150000 -17079
4160000 -17144.4
4170000 -17144.6
4180000 -17150.9
4190000 -17112.9
4200000 -17121.1
4210000 -17121.5
4220000 -17126.4
4230000 -17073.3
4240000 -17045.9
4250000 -17161.8
4260000 -17123.6
4270000 -17114.4
4280000 -17117.6
4290000 -17131.2
4300000 -17121.8
4310000 -17128.5
4320000 -17108.1
4330000 -17124.4
4340000 -17101.3
4350000 -17132.1
4360000 -17123.4
4370000 -17119.5
4380000 -17116.2
4390000 -17123.1
4400000 -17122
4410000 -17162.2
4420000 -17158
4430000 -17119.8
4440000 -17156.8
4450000 -17138
4460000 -17146.5
4470000 -17135.4
4480000 -17140.6
4490000 -17108
4500000 -17139.1
4510000 -17165.5
4520000 -17159
4530000 -17093.2
4540000 -17112.6
4550000 -17132
4560000 -17111.8
4570000 -17114.1
4580000 -17072.1
4590000 -17104.9
4600000 -17110.1
4610000 -17144.4
4620000 -17159.4
4630000 -17106.7
4640000 -17134.9
4650000 -17160
4660000 -17147.1
4670000 -17145.9
4680000 -17122.4
4690000 -17084.3
4700000 -17123.5
4710000 -17127.2
4720000 -17126.2
4730000 -17146.5
4740000 -17154.1
4750000 -17113
4760000 -17131.7
4770000 -17091.9
4780000 -17137.5
4790000 -17093.4
4800000 -17139.1
4810000 -17127.8
4820000 -17143.4
4830000 -17143.2
4840000 -17148.4
4850000 -17154.4
4860000 -17141.1
4870000 -17117.7
4880000 -17096.6
4890000 -17119.3
4900000 -17125.8
4910000 -17128.6
4920000 -17095.6
4930000 -17122.9
4940000 -17119.3
4950000 -17097.8
4960000 -17123.8
4970000 -17084
4980000 -17062
4990000 -17093.5
5000000 -17142.7
