Simulation state at cycle:    2000000
##############################################################################                                           

Number-of-molecules: 334   

Box-size(s):    21.576673

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.3030870040E+000   0.2356989868E+000   0.1649874444E+000   0.2368996032E+001

Rotation per molecule type
Box 1    0.2205053537E+002   0.9000000000E+002   0.7872459795E+001   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.1385676253E+003

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 300   
Atomtype         X                  Y                   Z
  1        8.6303943292       15.3771698314        4.2021453476
  2        8.6517081082       16.3339178890        4.2223333129
  2        9.1669445700       15.1093714730        4.9482194427
  3        8.7039979490       15.4680686703        4.3032446466
  1       17.3387682843        4.4486471271        2.7714303705
  2       17.1143781983        3.7629646598        3.4004910356
  2       17.5455671587        5.2114267605        3.3114582710
  3       17.3364473301        4.4588191947        2.9256779061
  1        7.1980663807        3.2294616314       16.9787671787
  2        7.5211606131        2.4363905586       17.4064084623
  2        7.0050326934        2.9567918815       16.0817622289
  3        7.2152263454        3.0888496194       16.9168401435
  1        4.7025477158        2.2481658846       12.6642429881
  2        4.3350797953        2.9266498519       12.0978018964
  2        5.4136799829        2.6855931208       13.1324064091
  3        4.7478901989        2.3953972904       12.6512764012
  1       17.1222199527        0.6664813303       14.6067821826
  2       16.3696084203        0.1760397474       14.2762196139
  2       16.7621106633        1.2209354936       15.2989747551
  3       16.9754094804        0.6749270401       14.6544950236
  1       13.0651888021       11.7286864160        9.1309332676
  2       13.3057113451       12.2172660388        9.9181229115
  2       12.7295055325       10.8946110775        9.4593594376
  3       13.0526334595       11.6831023052        9.2781257002
  1        3.0715321240        5.8234461931        7.6011178290
  2        3.6338848482        5.1061506214        7.3087564886
  2        2.5812339915        6.0779298031        6.8194052793
  3        3.0810388830        5.7623835785        7.4594063664
  1       10.8712679763       18.5112852156       21.3717913125
  2       10.6633987193       18.7258346666       22.2811798884
  2       11.5598597496       19.1308095363       21.1304209275
  3       10.9346936787       18.6213314752       21.4599284842
  1        9.4936695393        0.6819823468        4.5698786181
  2       10.2680555274        1.1300636263        4.9101405544
  2        9.2986676777        0.0101748941        5.2232373996
  3        9.5701124849        0.6524643001        4.7009752274
  1       14.7450760176       12.0253577579       18.3009928343
  2       15.2444656881       11.4008797795       17.7748123630
  2       15.4050612767       12.6183292376       18.6602044140
  3       14.8980419527       12.0212008446       18.2789632458
  1        9.4566710431       19.8241313873        6.2889467262
  2        9.3288277584       20.5796145003        6.8626452860
  2       10.3105234651       19.4728232528        6.5414290284
